xkcd_color,xkcd_color_hex,xkcd_r,xkcd_g,xkcd_b,design_color,design_color_hex,design_r,design_g,design_b,common_color,common_color_hex,common_r,common_g,common_b,color_family,color_type,color_or_neutral
light royal blue,#3a2efe,58,46,254,ultramarine blue,#0f1fe9,15,31,233,cobalt blue,#1235df,18,53,223,blue,saturated color,color
light sage,#bcecac,188,236,172,aloe,#b8da8e,184,218,142,aloe,#b8da8e,184,218,142,green,pastel,color
light salmon,#fea993,254,169,147,light salmon,#fba491,251,164,145,coral,#fc8279,252,130,121,orange red,tinted color,color
light sea green,#98f6b0,152,246,176,seafoam,#7dfbac,125,251,172,mint green,#52ec9c,82,236,156,blue green,tinted color,color
light seafoam,#a0febf,160,254,191,seafoam,#7dfbac,125,251,172,mint green,#52ec9c,82,236,156,blue green,tinted color,color
light seafoam green,#a7ffb5,167,255,181,seafoam,#7dfbac,125,251,172,mint green,#52ec9c,82,236,156,blue green,tinted color,color
light sky blue,#c6fcff,198,252,255,pale aqua,#c9fefb,201,254,251,light aqua,#b6fbf6,182,251,246,green blue,pastel,color
light tan,#fbeeac,251,238,172,butter yellow,#f7f2ad,247,242,173,butter yellow,#f7f2ad,247,242,173,yellow,pastel,color
light teal,#90e4c1,144,228,193,mint,#aaf6b9,170,246,185,fresh mint,#aaf6b9,170,246,185,blue green,pastel,color
light turquoise,#7ef4cc,126,244,204,pale toothpaste,#96fbdb,150,251,219,light aqua,#b6fbf6,182,251,246,green blue,pastel,color
light urple,#b36ff6,179,111,246,violet grape,#b262f4,178,98,244,grape,#ae62e3,174,98,227,purple,tinted color,color
light violet,#d6b4fc,214,180,252,lavender,#cba1f9,203,161,249,lilac,#cda7f7,205,167,247,purple,pastel,color
light yellow,#fffe7a,255,254,122,canary yellow,#fefe6f,254,254,111,soft yellow,#f5e667,245,230,103,yellow,tinted color,color
light yellow green,#ccfd7f,204,253,127,neon limeade,#c1f354,193,243,84,neon lemon lime,#c1f354,193,243,84,yellow green,neon color,color
light yellowish green,#c2ff89,194,255,137,neon limeade,#c1f354,193,243,84,neon lemon lime,#c1f354,193,243,84,yellow green,neon color,color
lightblue,#7bc8f6,123,200,246,sky blue,#7ec9f9,126,201,249,light blue,#88c4ec,136,196,236,blue,pastel,color
lighter green,#75fd63,117,253,99,blue neon green,#5bfa52,91,250,82,neon lime sherbet,#8cfb7e,140,251,126,blue green,neon color,color
lighter purple,#a55af4,165,90,244,violet grape,#b262f4,178,98,244,grape,#ae62e3,174,98,227,purple,tinted color,color
lightgreen,#76ff7b,118,255,123,blue neon green,#5bfa52,91,250,82,neon lime sherbet,#8cfb7e,140,251,126,blue green,neon color,color
lightish blue,#3d7afd,61,122,253,painter tape blue,#156af7,21,106,247,cobalt blue,#1235df,18,53,223,blue,saturated color,color
lightish green,#61e160,97,225,96,neon green,#53f72c,83,247,44,neon green,#53f72c,83,247,44,green,neon color,color
lightish purple,#a552e6,165,82,230,violet grape,#b262f4,178,98,244,grape,#ae62e3,174,98,227,purple,tinted color,color
lightish red,#fe2f4a,254,47,74,watermelon,#fb304f,251,48,79,medium pink,#fb5f87,251,95,135,red,tinted color,color
lilac,#cea2fd,206,162,253,lavender,#cba1f9,203,161,249,lilac,#cda7f7,205,167,247,purple,pastel,color
liliac,#c48efd,196,142,253,lavender,#cba1f9,203,161,249,lilac,#cda7f7,205,167,247,purple,pastel,color
lime,#aaff32,170,255,50,neon green,#53f72c,83,247,44,neon green,#53f72c,83,247,44,green,neon color,color
lime green,#89fe05,137,254,5,neon green,#53f72c,83,247,44,neon green,#53f72c,83,247,44,green,neon color,color
lime yellow,#d0fe1d,208,254,29,neon lime yellow,#c5f622,197,246,34,neon lime,#c1f529,193,245,41,green yellow,neon color,color
lipstick,#d5174e,213,23,78,pomegranate,#d90c5c,217,12,92,dark pink,#ed1a51,237,26,81,red,saturated color,color
lipstick red,#c0022f,192,2,47,dark red,#c40135,196,1,53,primary red,#da0128,218,1,40,red,saturated color,color
macaroni and cheese,#efb435,239,180,53,mac and cheese,#f9b311,249,179,17,golden yellow,#f9b311,249,179,17,yellow orange,saturated color,color
magenta,#c20078,194,0,120,fuchsia,#c20078,194,0,120,wine,#980f60,152,15,96,red violet,saturated color,color
mahogany,#4a0100,74,1,0,dark burgundy,#440102,68,1,2,maroon,#62152f,98,21,47,red violet,dark color,color
maize,#f4d054,244,208,84,soft yellow,#f6d96a,246,217,106,soft yellow,#f5e667,245,230,103,yellow,tinted color,color
mango,#ffa62b,255,166,43,kumquat,#fdab30,253,171,48,navel orange,#fdab30,253,171,48,yellow orange,tinted color,color
manilla,#fffa86,255,250,134,banana yellow,#fffd82,255,253,130,soft yellow,#f5e667,245,230,103,yellow,tinted color,color
marigold,#fcc006,252,192,6,goldenrod,#fbc20a,251,194,10,dandelion,#fbc20a,251,194,10,orange yellow,saturated color,color
marine,#042e60,4,46,96,indigo,#033c72,3,60,114,navy,#031656,3,22,86,blue,dark neutral,neutral
marine blue,#01386a,1,56,106,indigo,#033c72,3,60,114,navy,#031656,3,22,86,blue,dark neutral,neutral
maroon,#650021,101,0,33,burgundy,#680029,104,0,41,maroon,#62152f,98,21,47,red violet,dark color,color
mauve,#ae7181,174,113,129,mauve,#c08e96,192,142,150,faded maroon,#c08e96,192,142,150,violet red,make-up color,color
medium blue,#2c6fbb,44,111,187,soft blue,#2d6ebd,45,110,189,bright blue,#2078c7,32,120,199,blue,tinted color,color
medium brown,#7f5112,127,81,18,coffee,#764710,118,71,16,light brown,#816131,129,97,49,brown,medium neutral,neutral
medium green,#39ad48,57,173,72,leafy green,#44a944,68,169,68,primary green,#39a332,57,163,50,green,saturated color,color
medium grey,#7d7f7c,125,127,124,medium grey,#8e908d,142,144,141,medium grey,#848b8d,132,139,141,grey,medium neutral,neutral
medium pink,#f36196,243,97,150,rosy pink,#fb78a6,251,120,166,medium pink,#fb5f87,251,95,135,red,tinted color,color
medium purple,#9e43a2,158,67,162,barney,#9b3ca0,155,60,160,primary purple,#8724cd,135,36,205,purple,saturated color,color
melon,#ff7855,255,120,85,melon,#ff7351,255,115,81,melon,#fe7f4e,254,127,78,red orange,tinted color,color
merlot,#730039,115,0,57,burgundy,#680029,104,0,41,maroon,#62152f,98,21,47,red violet,dark color,color
metallic blue,#4f738e,79,115,142,dark indigo blue,#3b6b93,59,107,147,indigo blue,#5a82a8,90,130,168,blue,muted color,color
mid blue,#276ab3,39,106,179,soft blue,#2d6ebd,45,110,189,bright blue,#2078c7,32,120,199,blue,tinted color,color
mid green,#50a747,80,167,71,leafy green,#44a944,68,169,68,primary green,#39a332,57,163,50,green,saturated color,color
midnight,#03012d,3,1,45,navy,#040937,4,9,55,navy,#031656,3,22,86,blue,dark neutral,neutral
midnight blue,#020035,2,0,53,navy,#040937,4,9,55,navy,#031656,3,22,86,blue,dark neutral,neutral
midnight purple,#280137,40,1,55,eggplant,#35043c,53,4,60,dark purple,#390346,57,3,70,purple,dark color,color
military green,#667c3e,102,124,62,medium army green,#6f7a39,111,122,57,olive,#7e854f,126,133,79,olive,medium neutral,neutral
milk chocolate,#7f4e1e,127,78,30,coffee,#764710,118,71,16,light brown,#816131,129,97,49,brown,medium neutral,neutral
mint,#9ffeb0,159,254,176,seafoam,#7dfbac,125,251,172,mint green,#52ec9c,82,236,156,blue green,tinted color,color
mint green,#8fff9f,143,255,159,seafoam,#7dfbac,125,251,172,mint green,#52ec9c,82,236,156,blue green,tinted color,color
minty green,#0bf77d,11,247,125,lime,#0ff684,15,246,132,mint green,#52ec9c,82,236,156,blue green,tinted color,color
mocha,#9d7651,157,118,81,caramel,#a17a51,161,122,81,mocha,#aa8556,170,133,86,khaki,medium neutral,neutral
moss,#769958,118,153,88,grey green,#75955d,117,149,93,olive,#7e854f,126,133,79,olive,medium neutral,neutral
