xkcd_color,xkcd_color_hex,xkcd_r,xkcd_g,xkcd_b,design_color,design_color_hex,design_r,design_g,design_b,common_color,common_color_hex,common_r,common_g,common_b,color_family,color_type,color_or_neutral
acid green,#8ffe09,143,254,9,neon green,#53f72c,83,247,44,neon green,#53f72c,83,247,44,green,neon color,color
adobe,#bd6c48,189,108,72,russet brown,#b15d24,177,93,36,sienna,#a25e15,162,94,21,sienna,painterly neutral,neutral
algae,#54ac68,84,172,104,asparagus,#6fa460,111,164,96,asparagus,#6fa460,111,164,96,yellow green,saturated color,color
algae green,#21c36f,33,195,111,kelly green,#1dbb64,29,187,100,tree green,#20b069,32,176,105,blue green,saturated color,color
almost black,#070d0d,7,13,13,black,#0c0504,12,5,4,black,#0c0504,12,5,4,black,dark neutral,neutral
amber,#feb308,254,179,8,mac and cheese,#f9b311,249,179,17,golden yellow,#f9b311,249,179,17,yellow orange,saturated color,color
amethyst,#9b5fc0,155,95,192,sangria,#895393,137,83,147,medium lavender,#8a5891,138,88,145,purple,muted color,color
apple,#6ecb3c,110,203,60,apple green,#6fd03b,111,208,59,primary green,#39a332,57,163,50,green,saturated color,color
apple green,#76cd26,118,205,38,apple green,#6fd03b,111,208,59,primary green,#39a332,57,163,50,green,saturated color,color
apricot,#ffb16d,255,177,109,apricot,#ffb074,255,176,116,peach,#ffc287,255,194,135,red orange,pastel,color
aqua,#13eac9,19,234,201,aqua fresh,#15f4bd,21,244,189,light mint,#15f4bd,21,244,189,green blue,tinted color,color
aqua blue,#02d8e9,2,216,233,caribbean blue,#13ebef,19,235,239,caribbean blue,#13ebef,19,235,239,green blue,tinted color,color
aqua green,#12e193,18,225,147,bright mint,#1fd37c,31,211,124,mint green,#52ec9c,82,236,156,blue green,tinted color,color
aqua marine,#2ee8bb,46,232,187,aqua fresh,#15f4bd,21,244,189,light mint,#15f4bd,21,244,189,green blue,tinted color,color
aquamarine,#04d8b2,4,216,178,turquoise,#05cdaf,5,205,175,aqua,#4cd4b9,76,212,185,blue green,tinted color,color
army green,#4b5d16,75,93,22,deep leaf green,#485a14,72,90,20,camouflage green,#565e11,86,94,17,olive,dark neutral,neutral
asparagus,#77ab56,119,171,86,asparagus,#6fa460,111,164,96,asparagus,#6fa460,111,164,96,yellow green,saturated color,color
aubergine,#3d0734,61,7,52,eggplant,#35043c,53,4,60,dark purple,#390346,57,3,70,purple,dark color,color
auburn,#9a3001,154,48,1,umber,#953308,149,51,8,umber,#953308,149,51,8,sienna,painterly neutral,neutral
avocado,#90b134,144,177,52,icky green,#86a51e,134,165,30,avocado,#86a51e,134,165,30,green yellow,dark color,color
avocado green,#87a922,135,169,34,icky green,#86a51e,134,165,30,avocado,#86a51e,134,165,30,green yellow,dark color,color
azul,#1d5dec,29,93,236,painter tape blue,#156af7,21,106,247,cobalt blue,#1235df,18,53,223,blue,saturated color,color
azure,#069af3,6,154,243,azure blue,#088cda,8,140,218,bright blue,#2078c7,32,120,199,blue,tinted color,color
baby blue,#a2cffe,162,207,254,french blue,#8ec8fd,142,200,253,hydrangea,#94b5fc,148,181,252,violet blue,pastel,color
baby green,#8cff9e,140,255,158,hospital green,#9bf78d,155,247,141,soft green,#8ddd79,141,221,121,green,tinted color,color
baby pink,#ffb7ce,255,183,206,ballet pink,#fec0da,254,192,218,pink,#fec9de,254,201,222,red,pastel,color
baby poo,#ab9004,171,144,4,chartreuse,#b6a306,182,163,6,chartreuse,#b6a306,182,163,6,green yellow,muted color,color
baby poop,#937c00,147,124,0,chartreuse,#b6a306,182,163,6,chartreuse,#b6a306,182,163,6,green yellow,muted color,color
baby poop green,#8f9805,143,152,5,pea green,#95a911,149,169,17,pea green,#95a911,149,169,17,yellow green,muted color,color
baby puke green,#b6c406,182,196,6,bright olive,#afbd07,175,189,7,warm olive,#a4b90c,164,185,12,yellow green,saturated color,color
baby purple,#ca9bf7,202,155,247,lavender,#cba1f9,203,161,249,lilac,#cda7f7,205,167,247,purple,pastel,color
baby shit brown,#ad900d,173,144,13,dark mustard,#b8950c,184,149,12,mustard,#b8950c,184,149,12,orange yellow,dark color,color
baby shit green,#889717,136,151,23,pea green,#95a911,149,169,17,pea green,#95a911,149,169,17,yellow green,muted color,color
banana,#ffff7e,255,255,126,banana yellow,#fffd82,255,253,130,soft yellow,#f5e667,245,230,103,yellow,tinted color,color
banana yellow,#fafe4b,250,254,75,gen z yellow,#fcfc2c,252,252,44,gen z yellow,#fbf132,251,241,50,yellow,saturated color,color
barbie pink,#fe46a5,254,70,165,barbie pink,#fe46a5,254,70,165,pink carnation,#ed52aa,237,82,170,violet red,tinted color,color
barf green,#94ac02,148,172,2,pea green,#95a911,149,169,17,pea green,#95a911,149,169,17,yellow green,muted color,color
barney,#ac1db8,172,29,184,magenta,#a90bca,169,11,202,magenta,#a90bca,169,11,202,purple,saturated color,color
barney purple,#a00498,160,4,152,magenta,#a90bca,169,11,202,magenta,#a90bca,169,11,202,purple,saturated color,color
battleship grey,#6b7c85,107,124,133,steel grey,#6f808d,111,128,141,medium grey,#848b8d,132,139,141,grey,medium neutral,neutral
beige,#e6daa6,230,218,166,butter yellow,#f7f2ad,247,242,173,butter yellow,#f7f2ad,247,242,173,yellow,pastel,color
berry,#990f4b,153,15,75,malbec,#90074b,144,7,75,wine,#980f60,152,15,96,red violet,saturated color,color
bile,#b5c306,181,195,6,bright olive,#afbd07,175,189,7,warm olive,#a4b90c,164,185,12,yellow green,saturated color,color
black,#000000,0,0,0,black,#0c0504,12,5,4,black,#0c0504,12,5,4,black,dark neutral,neutral
bland,#afa88b,175,168,139,light olive,#aba58b,171,165,139,soft olive,#aba58b,171,165,139,olive,light neutral,neutral
blood,#770001,119,0,1,varsity red,#89070b,137,7,11,brick red,#930e0d,147,14,13,red,dark color,color
blood orange,#fe4b03,254,75,3,pumpkin,#fe5301,254,83,1,blood orange,#fc6504,252,101,4,orange,saturated color,color
blood red,#980002,152,0,2,brick,#99120f,153,18,15,brick red,#930e0d,147,14,13,red,dark color,color
blue,#0343df,3,67,223,ultramarine blue,#0f1fe9,15,31,233,cobalt blue,#1235df,18,53,223,blue,saturated color,color
blue blue,#2242c7,34,66,199,ultramarine blue,#0f1fe9,15,31,233,cobalt blue,#1235df,18,53,223,blue,saturated color,color
blue green,#137e6d,19,126,109,dark blue green,#106659,16,102,89,dark blue green,#056563,5,101,99,blue green,dark color,color
blue grey,#607c8e,96,124,142,blue steel,#748da0,116,141,160,indigo blue,#5a82a8,90,130,168,blue,muted color,color
blue purple,#5729ce,87,41,206,primary purple,#6128e2,97,40,226,primary purple,#8724cd,135,36,205,purple,saturated color,color
blue violet,#5d06e9,93,6,233,bright purple,#4d21bf,77,33,191,bright purple,#5636c4,86,54,196,blue violet,saturated color,color
blue with a hint of purple,#533cc6,83,60,198,bright purple,#4d21bf,77,33,191,bright purple,#5636c4,86,54,196,blue violet,saturated color,color
blue/green,#0f9b8e,15,155,142,teal aqua,#0fa081,15,160,129,bright teal,#18ad89,24,173,137,blue green,saturated color,color
blue/grey,#758da3,117,141,163,blue steel,#748da0,116,141,160,indigo blue,#5a82a8,90,130,168,blue,muted color,color
blue/purple,#5a06ef,90,6,239,primary purple,#6128e2,97,40,226,primary purple,#8724cd,135,36,205,purple,saturated color,color
blueberry,#464196,70,65,150,bright purple,#4d21bf,77,33,191,bright purple,#5636c4,86,54,196,blue violet,saturated color,color
bluegreen,#017a79,1,122,121,peacock green,#027272,2,114,114,dark blue green,#056563,5,101,99,blue green,dark color,color
bluegrey,#85a3b2,133,163,178,grey blue,#7ea2b3,126,162,179,indigo blue,#5a82a8,90,130,168,blue,muted color,color
bluey green,#2bb179,43,177,121,primary green,#1aa248,26,162,72,primary green,#39a332,57,163,50,green,saturated color,color
bluey grey,#89a0b0,137,160,176,blue steel,#748da0,116,141,160,indigo blue,#5a82a8,90,130,168,blue,muted color,color
bluey purple,#6241c7,98,65,199,primary purple,#6128e2,97,40,226,primary purple,#8724cd,135,36,205,purple,saturated color,color
bluish,#2976bb,41,118,187,soft blue,#2d6ebd,45,110,189,bright blue,#2078c7,32,120,199,blue,tinted color,color
bluish green,#10a674,16,166,116,teal aqua,#0fa081,15,160,129,bright teal,#18ad89,24,173,137,blue green,saturated color,color
bluish grey,#748b97,116,139,151,faded turquoise,#718690,113,134,144,muted teal,#64938d,100,147,141,green blue,muted color,color
bluish purple,#703be7,112,59,231,primary purple,#6128e2,97,40,226,primary purple,#8724cd,135,36,205,purple,saturated color,color
blurple,#5539cc,85,57,204,prince purple,#5b3cdd,91,60,221,cobalt purple,#5b3cdd,91,60,221,violet blue,saturated color,color
blush,#f29e8e,242,158,142,light salmon,#fba491,251,164,145,coral,#fc8279,252,130,121,orange red,tinted color,color
blush pink,#fe828c,254,130,140,coral,#fe7c7c,254,124,124,coral,#fc8279,252,130,121,orange red,tinted color,color
booger,#9bb53c,155,181,60,avocado,#9ab611,154,182,17,warm olive,#a4b90c,164,185,12,yellow green,saturated color,color
booger green,#96b403,150,180,3,avocado,#9ab611,154,182,17,warm olive,#a4b90c,164,185,12,yellow green,saturated color,color
bordeaux,#7b002c,123,0,44,claret,#6d042a,109,4,42,wine,#980f60,152,15,96,red violet,saturated color,color
boring green,#63b365,99,179,101,asparagus,#6fa460,111,164,96,asparagus,#6fa460,111,164,96,yellow green,saturated color,color
bottle green,#044a05,4,74,5,hunter green,#06400a,6,64,10,hunter green,#06400a,6,64,10,blue green,dark color,color
brick,#a03623,160,54,35,brick,#99120f,153,18,15,brick red,#930e0d,147,14,13,red,dark color,color
brick orange,#c14a09,193,74,9,burnt orange,#c85005,200,80,5,pumpkin spice,#c85005,200,80,5,orange,dark color,color
brick red,#8f1402,143,20,2,varsity red,#89070b,137,7,11,brick red,#930e0d,147,14,13,red,dark color,color
bright aqua,#0bf9ea,11,249,234,caribbean blue,#13ebef,19,235,239,caribbean blue,#13ebef,19,235,239,green blue,tinted color,color
bright blue,#0165fc,1,101,252,painter tape blue,#156af7,21,106,247,cobalt blue,#1235df,18,53,223,blue,saturated color,color
bright cyan,#41fdfe,65,253,254,caribbean blue,#13ebef,19,235,239,caribbean blue,#13ebef,19,235,239,green blue,tinted color,color
bright green,#01ff07,1,255,7,neon green,#53f72c,83,247,44,neon green,#53f72c,83,247,44,green,neon color,color
bright lavender,#c760ff,199,96,255,violet grape,#b262f4,178,98,244,grape,#ae62e3,174,98,227,purple,tinted color,color
bright light blue,#26f7fd,38,247,253,caribbean blue,#13ebef,19,235,239,caribbean blue,#13ebef,19,235,239,green blue,tinted color,color
bright light green,#2dfe54,45,254,84,neon green,#53f72c,83,247,44,neon green,#53f72c,83,247,44,green,neon color,color
bright lilac,#c95efb,201,94,251,violet grape,#b262f4,178,98,244,grape,#ae62e3,174,98,227,purple,tinted color,color
bright lime,#87fd05,135,253,5,neon green,#53f72c,83,247,44,neon green,#53f72c,83,247,44,green,neon color,color
bright lime green,#65fe08,101,254,8,neon green,#53f72c,83,247,44,neon green,#53f72c,83,247,44,green,neon color,color
bright magenta,#ff08e8,255,8,232,faded magenta,#ee42e2,238,66,226,muted magenta,#e458d3,228,88,211,red violet,tinted color,color
bright olive,#9cbb04,156,187,4,pea green,#95a911,149,169,17,pea green,#95a911,149,169,17,yellow green,muted color,color
bright orange,#ff5b00,255,91,0,pumpkin,#fe5301,254,83,1,blood orange,#fc6504,252,101,4,orange,saturated color,color
bright pink,#fe01b1,254,1,177,hot pink,#fe0298,254,2,152,hot pink,#fd039f,253,3,159,violet red,neon color,color
bright purple,#be03fd,190,3,253,hot fuchsia,#d019ea,208,25,234,primary purple,#8724cd,135,36,205,purple,saturated color,color
bright red,#ff000d,255,0,13,orange red,#e0000c,224,0,12,rorange,#f12c11,241,44,17,orange red,saturated color,color
bright sea green,#05ffa6,5,255,166,seafoam,#7dfbac,125,251,172,mint green,#52ec9c,82,236,156,blue green,tinted color,color
bright sky blue,#02ccfe,2,204,254,neon blue,#03d2fe,3,210,254,neon blue,#03d2fe,3,210,254,blue,neon color,color
bright teal,#01f9c6,1,249,198,aqua fresh,#15f4bd,21,244,189,light mint,#15f4bd,21,244,189,green blue,tinted color,color
bright turquoise,#0ffef9,15,254,249,caribbean blue,#13ebef,19,235,239,caribbean blue,#13ebef,19,235,239,green blue,tinted color,color
bright violet,#ad0afd,173,10,253,magenta,#a90bca,169,11,202,magenta,#a90bca,169,11,202,purple,saturated color,color
bright yellow,#fffd01,255,253,1,gen z yellow,#fcfc2c,252,252,44,gen z yellow,#fbf132,251,241,50,yellow,saturated color,color
bright yellow green,#9dff00,157,255,0,acid green,#a6fc02,166,252,2,neon lime,#c1f529,193,245,41,green yellow,neon color,color
british racing green,#05480d,5,72,13,hunter green,#06400a,6,64,10,hunter green,#06400a,6,64,10,blue green,dark color,color
bronze,#a87900,168,121,0,whiskey brown,#a47204,164,114,4,yellow ochre,#a47204,164,114,4,yellow ochre,painterly neutral,neutral
brown,#653700,101,55,0,coffee,#764710,118,71,16,light brown,#816131,129,97,49,brown,medium neutral,neutral
brown green,#706c11,112,108,17,camo froggie,#6d6c0c,109,108,12,swamp green,#6f7410,111,116,16,yellow green,dark color,color
brown grey,#8d8468,141,132,104,drab olive,#827458,130,116,88,olive,#7e854f,126,133,79,olive,medium neutral,neutral
brown orange,#b96902,185,105,2,pumpkin spice,#c5700b,197,112,11,dark mustard,#c5700b,197,112,11,yellow orange,dark color,color
brown red,#922b05,146,43,5,umber,#953308,149,51,8,umber,#953308,149,51,8,sienna,painterly neutral,neutral
brown yellow,#b29705,178,151,5,dark mustard,#b8950c,184,149,12,mustard,#b8950c,184,149,12,orange yellow,dark color,color
brownish,#9c6d57,156,109,87,brownish pink,#a27162,162,113,98,brownish pink,#a27162,162,113,98,violet red,make-up color,color
brownish green,#6a6e09,106,110,9,camo froggie,#6d6c0c,109,108,12,swamp green,#6f7410,111,116,16,yellow green,dark color,color
brownish grey,#86775f,134,119,95,mocha,#846f52,132,111,82,light brown,#816131,129,97,49,brown,medium neutral,neutral
brownish orange,#cb7723,203,119,35,pumpkin spice,#c5700b,197,112,11,dark mustard,#c5700b,197,112,11,yellow orange,dark color,color
brownish pink,#c27e79,194,126,121,light maroon,#b26368,178,99,104,mauve,#c7717f,199,113,127,red,make-up color,color
brownish purple,#76424e,118,66,78,faded burgundy,#73424d,115,66,77,maroon,#62152f,98,21,47,red violet,dark color,color
brownish red,#9e3623,158,54,35,brick,#99120f,153,18,15,brick red,#930e0d,147,14,13,red,dark color,color
brownish yellow,#c9b003,201,176,3,chartreuse,#b6a306,182,163,6,chartreuse,#b6a306,182,163,6,green yellow,muted color,color
browny green,#6f6c0a,111,108,10,camo froggie,#6d6c0c,109,108,12,swamp green,#6f7410,111,116,16,yellow green,dark color,color
browny orange,#ca6b02,202,107,2,pumpkin spice,#c5700b,197,112,11,dark mustard,#c5700b,197,112,11,yellow orange,dark color,color
bruise,#7e4071,126,64,113,faded eggplant,#8c497d,140,73,125,muted purple,#8c588e,140,88,142,red violet,muted color,color
bubble gum pink,#ff69af,255,105,175,bubblegum pink,#fa6294,250,98,148,medium pink,#fb5f87,251,95,135,red,tinted color,color
bubblegum,#ff6cb5,255,108,181,rosy pink,#fb78a6,251,120,166,medium pink,#fb5f87,251,95,135,red,tinted color,color
bubblegum pink,#fe83cc,254,131,204,pinky pink,#fe82c6,254,130,198,pink carnation,#ed52aa,237,82,170,violet red,tinted color,color
buff,#fef69e,254,246,158,pale yellow,#fef7a2,254,247,162,soft yellow,#f5e667,245,230,103,yellow,tinted color,color
burgundy,#610023,97,0,35,burgundy,#680029,104,0,41,maroon,#62152f,98,21,47,red violet,dark color,color
burnt orange,#c04e01,192,78,1,burnt orange,#c85005,200,80,5,pumpkin spice,#c85005,200,80,5,orange,dark color,color
burnt red,#9f2305,159,35,5,brick,#99120f,153,18,15,brick red,#930e0d,147,14,13,red,dark color,color
burnt siena,#b75203,183,82,3,copper,#b55f07,181,95,7,sienna,#a25e15,162,94,21,sienna,painterly neutral,neutral
burnt sienna,#b04e0f,176,78,15,russet brown,#b15d24,177,93,36,sienna,#a25e15,162,94,21,sienna,painterly neutral,neutral
burnt umber,#a0450e,160,69,14,umber,#953308,149,51,8,umber,#953308,149,51,8,sienna,painterly neutral,neutral
burnt yellow,#d5ab09,213,171,9,dark mustard,#b8950c,184,149,12,mustard,#b8950c,184,149,12,orange yellow,dark color,color
burple,#6832e3,104,50,227,primary purple,#6128e2,97,40,226,primary purple,#8724cd,135,36,205,purple,saturated color,color
butter,#ffff81,255,255,129,banana yellow,#fffd82,255,253,130,soft yellow,#f5e667,245,230,103,yellow,tinted color,color
butter yellow,#fffd74,255,253,116,canary yellow,#fefe6f,254,254,111,soft yellow,#f5e667,245,230,103,yellow,tinted color,color
butterscotch,#fdb147,253,177,71,kumquat,#fdab30,253,171,48,navel orange,#fdab30,253,171,48,yellow orange,tinted color,color
cadet blue,#4e7496,78,116,150,dark petrol,#385f81,56,95,129,dark petrol,#385f81,56,95,129,violet blue,dark color,color
camel,#c69f59,198,159,89,light mustard,#c9a55d,201,165,93,light mustard,#c9a55d,201,165,93,yellow,muted color,color
camo,#7f8f4e,127,143,78,camo,#75842e,117,132,46,swamp green,#6f7410,111,116,16,yellow green,dark color,color
camo green,#526525,82,101,37,deep leaf green,#485a14,72,90,20,camouflage green,#565e11,86,94,17,olive,dark neutral,neutral
camouflage green,#4b6113,75,97,19,dark olive,#4c4d10,76,77,16,camouflage green,#565e11,86,94,17,olive,dark neutral,neutral
canary,#fdff63,253,255,99,canary yellow,#fefe6f,254,254,111,soft yellow,#f5e667,245,230,103,yellow,tinted color,color
canary yellow,#fffe40,255,254,64,gen z yellow,#fcfc2c,252,252,44,gen z yellow,#fbf132,251,241,50,yellow,saturated color,color
candy pink,#ff63e9,255,99,233,faded magenta,#ee42e2,238,66,226,muted magenta,#e458d3,228,88,211,red violet,tinted color,color
caramel,#af6f09,175,111,9,whiskey brown,#a47204,164,114,4,yellow ochre,#a47204,164,114,4,yellow ochre,painterly neutral,neutral
carmine,#9d0216,157,2,22,brick,#99120f,153,18,15,brick red,#930e0d,147,14,13,red,dark color,color
carnation,#fd798f,253,121,143,pinky coral,#fa8094,250,128,148,medium pink,#fb5f87,251,95,135,red,tinted color,color
carnation pink,#ff7fa7,255,127,167,rosy pink,#fb78a6,251,120,166,medium pink,#fb5f87,251,95,135,red,tinted color,color
carolina blue,#8ab8fe,138,184,254,hydrangea,#97aafc,151,170,252,hydrangea,#94b5fc,148,181,252,violet blue,pastel,color
celadon,#befdb7,190,253,183,mint,#aaf6b9,170,246,185,fresh mint,#aaf6b9,170,246,185,blue green,pastel,color
celery,#c1fd95,193,253,149,pistachio,#c0fc85,192,252,133,lime yellow,#c0fc85,192,252,133,green yellow,tinted color,color
cement,#a5a391,165,163,145,light olive,#aba58b,171,165,139,soft olive,#aba58b,171,165,139,olive,light neutral,neutral
cerise,#de0c62,222,12,98,pomegranate,#d90c5c,217,12,92,dark pink,#ed1a51,237,26,81,red,saturated color,color
cerulean,#0485d1,4,133,209,azure blue,#088cda,8,140,218,bright blue,#2078c7,32,120,199,blue,tinted color,color
cerulean blue,#056eee,5,110,238,painter tape blue,#156af7,21,106,247,cobalt blue,#1235df,18,53,223,blue,saturated color,color
charcoal,#343837,52,56,55,dark olive,#4c4d10,76,77,16,camouflage green,#565e11,86,94,17,olive,dark neutral,neutral
charcoal grey,#3c4142,60,65,66,dark grey,#393c3c,57,60,60,charcoal,#495459,73,84,89,grey,dark neutral,neutral
chartreuse,#c1f80a,193,248,10,neon lime yellow,#c5f622,197,246,34,neon lime,#c1f529,193,245,41,green yellow,neon color,color
cherry,#cf0234,207,2,52,dark red,#c40135,196,1,53,primary red,#da0128,218,1,40,red,saturated color,color
cherry red,#f7022a,247,2,42,tomato red,#fa0116,250,1,22,primary red,#da0128,218,1,40,red,saturated color,color
chestnut,#742802,116,40,2,burnt umber,#711c03,113,28,3,brown,#633a0b,99,58,11,brown,dark neutral,neutral
chocolate,#3d1c02,61,28,2,chocolate brown,#3b1b01,59,27,1,brown,#633a0b,99,58,11,brown,dark neutral,neutral
chocolate brown,#411900,65,25,0,chocolate brown,#3b1b01,59,27,1,brown,#633a0b,99,58,11,brown,dark neutral,neutral
cinnamon,#ac4f06,172,79,6,russet brown,#b15d24,177,93,36,sienna,#a25e15,162,94,21,sienna,painterly neutral,neutral
claret,#680018,104,0,24,claret,#6d042a,109,4,42,wine,#980f60,152,15,96,red violet,saturated color,color
clay,#b66a50,182,106,80,russet brown,#b15d24,177,93,36,sienna,#a25e15,162,94,21,sienna,painterly neutral,neutral
clay brown,#b2713d,178,113,61,cognac leather,#a66a36,166,106,54,sienna,#a25e15,162,94,21,sienna,painterly neutral,neutral
clear blue,#247afd,36,122,253,painter tape blue,#156af7,21,106,247,cobalt blue,#1235df,18,53,223,blue,saturated color,color
cloudy blue,#acc2d9,172,194,217,blue grey,#b1c5dd,177,197,221,indigo blue,#5a82a8,90,130,168,blue,muted color,color
cobalt,#1e488f,30,72,143,cobalt medium,#141ca5,20,28,165,cobalt blue,#1235df,18,53,223,blue,saturated color,color
cobalt blue,#030aa7,3,10,167,cobalt medium,#141ca5,20,28,165,cobalt blue,#1235df,18,53,223,blue,saturated color,color
cocoa,#875f42,135,95,66,brown leather,#875f42,135,95,66,brown,#633a0b,99,58,11,brown,dark neutral,neutral
coffee,#a6814c,166,129,76,warm khaki,#ab824c,171,130,76,mocha,#aa8556,170,133,86,khaki,medium neutral,neutral
cool blue,#4984b8,73,132,184,faded blue,#4d84c3,77,132,195,indigo blue,#5a82a8,90,130,168,blue,muted color,color
cool green,#33b864,51,184,100,kelly green,#1dbb64,29,187,100,tree green,#20b069,32,176,105,blue green,saturated color,color
cool grey,#95a3a6,149,163,166,medium grey,#8e908d,142,144,141,medium grey,#848b8d,132,139,141,grey,medium neutral,neutral
copper,#b66325,182,99,37,copper,#b55f07,181,95,7,sienna,#a25e15,162,94,21,sienna,painterly neutral,neutral
coral,#fc5a50,252,90,80,sunset coral,#fd5c58,253,92,88,coral,#fc8279,252,130,121,orange red,tinted color,color
coral pink,#ff6163,255,97,99,sunset coral,#fd5c58,253,92,88,coral,#fc8279,252,130,121,orange red,tinted color,color
cornflower,#6a79f7,106,121,247,dark periwinkle,#7683ec,118,131,236,cornflower,#7683ec,118,131,236,blue violet,tinted color,color
cornflower blue,#5170d7,81,112,215,dark periwinkle,#7683ec,118,131,236,cornflower,#7683ec,118,131,236,blue violet,tinted color,color
cranberry,#9e003a,158,0,58,raspberry,#a50145,165,1,69,raspberry,#a50145,165,1,69,violet red,dark color,color
cream,#ffffc2,255,255,194,butter yellow,#f7f2ad,247,242,173,butter yellow,#f7f2ad,247,242,173,yellow,pastel,color
creme,#ffffb6,255,255,182,butter yellow,#f7f2ad,247,242,173,butter yellow,#f7f2ad,247,242,173,yellow,pastel,color
crimson,#8c000f,140,0,15,brick,#99120f,153,18,15,brick red,#930e0d,147,14,13,red,dark color,color
custard,#fffd78,255,253,120,canary yellow,#fefe6f,254,254,111,soft yellow,#f5e667,245,230,103,yellow,tinted color,color
cyan,#00ffff,0,255,255,caribbean blue,#13ebef,19,235,239,caribbean blue,#13ebef,19,235,239,green blue,tinted color,color
dandelion,#fedf08,254,223,8,sunshine,#fae23a,250,226,58,gen z yellow,#fbf132,251,241,50,yellow,saturated color,color
dark,#1b2431,27,36,49,navy,#040937,4,9,55,navy,#031656,3,22,86,blue,dark neutral,neutral
dark aqua,#05696b,5,105,107,peacock green,#027272,2,114,114,dark blue green,#056563,5,101,99,blue green,dark color,color
dark aquamarine,#017371,1,115,113,peacock green,#027272,2,114,114,dark blue green,#056563,5,101,99,blue green,dark color,color
dark beige,#ac9362,172,147,98,camel,#bfa26a,191,162,106,khaki,#c8ac7f,200,172,127,khaki,light neutral,neutral
dark blue,#00035b,0,3,91,cobalt,#040870,4,8,112,navy,#031656,3,22,86,blue,dark neutral,neutral
dark blue green,#005249,0,82,73,dark blue green,#106659,16,102,89,dark blue green,#056563,5,101,99,blue green,dark color,color
dark blue grey,#1f3b4d,31,59,77,dark blue grey,#1f3b4d,31,59,77,dark aqua,#156588,21,101,136,green blue,dark color,color
dark brown,#341c02,52,28,2,chocolate brown,#3b1b01,59,27,1,brown,#633a0b,99,58,11,brown,dark neutral,neutral
dark coral,#cf524e,207,82,78,terra cotta,#c64e4a,198,78,74,faded red,#c96364,201,99,100,orange red,muted color,color
dark cream,#fff39a,255,243,154,pale yellow,#fef7a2,254,247,162,soft yellow,#f5e667,245,230,103,yellow,tinted color,color
dark cyan,#0a888a,10,136,138,teal,#148f8a,20,143,138,peacock blue,#179e95,23,158,149,green blue,saturated color,color
dark forest green,#002d04,0,45,4,hunter green,#06400a,6,64,10,hunter green,#06400a,6,64,10,blue green,dark color,color
dark fuchsia,#9d0759,157,7,89,dark fuchsia,#9c025c,156,2,92,wine,#980f60,152,15,96,red violet,saturated color,color
dark gold,#b59410,181,148,16,dark mustard,#b8950c,184,149,12,mustard,#b8950c,184,149,12,orange yellow,dark color,color
dark grass green,#388004,56,128,4,fern green,#659c40,101,156,64,stem green,#659c40,101,156,64,yellow green,tinted color,color
dark green,#033500,3,53,0,hunter green,#06400a,6,64,10,hunter green,#06400a,6,64,10,blue green,dark color,color
dark green blue,#1f6357,31,99,87,dark blue green,#106659,16,102,89,dark blue green,#056563,5,101,99,blue green,dark color,color
dark grey,#363737,54,55,55,dark grey,#393c3c,57,60,60,charcoal,#495459,73,84,89,grey,dark neutral,neutral
dark grey blue,#29465b,41,70,91,darkest indigo blue,#29465b,41,70,91,indigo blue,#5a82a8,90,130,168,blue,muted color,color
dark hot pink,#d90166,217,1,102,pomegranate,#d90c5c,217,12,92,dark pink,#ed1a51,237,26,81,red,saturated color,color
dark indigo,#1f0954,31,9,84,eggplant,#35043c,53,4,60,dark purple,#390346,57,3,70,purple,dark color,color
dark khaki,#9b8f55,155,143,85,warm olive,#a29a5b,162,154,91,olive,#7e854f,126,133,79,olive,medium neutral,neutral
dark lavender,#856798,133,103,152,amethyst,#856e8c,133,110,140,purple grey,#856e8c,133,110,140,blue violet,muted color,color
dark lilac,#9c6da5,156,109,165,dark amethyst,#8b618e,139,97,142,medium lavender,#8a5891,138,88,145,purple,muted color,color
dark lime,#84b701,132,183,1,slime green,#9bc20e,155,194,14,lime green,#9abf11,154,191,17,yellow green,tinted color,color
dark lime green,#7ebd01,126,189,1,kermit,#77b31a,119,179,26,primary green,#39a332,57,163,50,green,saturated color,color
dark magenta,#960056,150,0,86,dark fuchsia,#9c025c,156,2,92,wine,#980f60,152,15,96,red violet,saturated color,color
dark maroon,#3c0008,60,0,8,dark burgundy,#440102,68,1,2,maroon,#62152f,98,21,47,red violet,dark color,color
dark mauve,#874c62,135,76,98,faded burgundy,#73424d,115,66,77,maroon,#62152f,98,21,47,red violet,dark color,color
dark mint,#48c072,72,192,114,bright mint,#1fd37c,31,211,124,mint green,#52ec9c,82,236,156,blue green,tinted color,color
dark mint green,#20c073,32,192,115,kelly green,#1dbb64,29,187,100,tree green,#20b069,32,176,105,blue green,saturated color,color
dark mustard,#a88905,168,137,5,dark mustard,#b8950c,184,149,12,mustard,#b8950c,184,149,12,orange yellow,dark color,color
dark navy,#000435,0,4,53,navy,#040937,4,9,55,navy,#031656,3,22,86,blue,dark neutral,neutral
dark navy blue,#00022e,0,2,46,navy,#040937,4,9,55,navy,#031656,3,22,86,blue,dark neutral,neutral
dark olive,#373e02,55,62,2,dark olive,#4c4d10,76,77,16,camouflage green,#565e11,86,94,17,olive,dark neutral,neutral
dark olive green,#3c4d03,60,77,3,deep leaf green,#485a14,72,90,20,camouflage green,#565e11,86,94,17,olive,dark neutral,neutral
